sigla_uf,cnae_2_subclasse,tipo_vinculo,valor_remuneracao_media,sexo,raca_cor,grau_instrucao_apos_2005,cbo_2002,id_municipio
RO,5231101,10,5990.79,2,2,9,252305,1100205
RO,5231102,10,1413.35,2,2,8,411005,1100205
RO,5231102,10,2629.36,1,8,7,784205,1100205
RO,5231102,10,3253.35,1,8,7,783220,1100205
RO,5231102,10,2285.4,1,8,6,911305,1100205
RO,5231102,10,2243.85,1,2,7,411010,1100205
RO,5231101,55,751.68,2,9,6,411005,1100205
RO,5231102,10,1876.23,1,8,7,784205,1100205
RO,5231102,10,1507.45,1,2,7,784205,1100205
RO,5231102,10,4275.38,1,2,7,840105,1100205
RO,5231101,10,0,1,2,7,411005,1100205
RO,5231102,10,1897.58,1,6,7,784205,1100205
RO,5231102,10,3589.63,1,2,7,951105,1100205
RO,5231102,10,4785.85,1,2,5,840105,1100205
RO,5231102,10,2468.12,1,2,7,784205,1100205
RO,5231102,10,1310.7,1,8,7,784205,1100205
RO,5231101,10,15775.2,2,9,9,351105,1100205
RO,5231102,10,1493.87,1,8,7,784205,1100205
RO,5231102,10,0,2,8,9,411005,1100205
RO,5231102,10,1399,1,8,7,784205,1100205
RO,5231101,10,12923.43,1,8,9,241040,1100205
RO,5231102,10,4912.47,1,8,7,342610,1100205
RO,5231102,10,5950.33,1,2,7,840105,1100205
RO,5231102,10,1924.64,1,8,7,784205,1100205
RO,5231102,10,1378.94,1,8,7,783225,1100205
RO,5231102,10,1488.54,2,8,7,783210,1100205
RO,5231102,10,1501.65,1,8,5,783210,1100205
RO,5231101,10,6387.73,1,9,9,517325,1100205
RO,5231102,10,2439.3,1,2,7,411010,1100205
RO,5231102,10,2012.41,1,8,8,342610,1100205
RO,5231102,10,3711.96,1,2,9,951105,1100205
RO,5231101,10,13941.36,1,9,8,411010,1100205
RO,5231102,10,1982.02,1,8,7,414105,1100205
RO,5231102,10,3081.1,1,2,4,784205,1100205
RO,5231102,10,1851.54,1,4,7,411010,1100205
RO,5231102,10,3247.42,1,8,8,411010,1100205
RO,5231102,55,530.18,2,2,6,411005,1100205
RO,5231102,10,3897.69,1,8,7,911305,1100205
RO,5231102,10,2652.53,1,8,7,784205,1100205
RO,5231102,10,454.94,1,8,7,784205,1100205
RO,5231101,10,13312.19,2,2,9,411010,1100205
RO,5231102,55,520.75,2,8,6,411005,1100205
RO,5231102,10,1869.12,1,8,7,517330,1100205
RO,5231102,10,5771.9,1,2,9,214405,1100205
RO,5231101,10,8043.29,2,8,9,241040,1100205
RO,5231102,10,2187.48,1,8,7,784205,1100205
RO,5231101,10,2477.77,2,8,9,410105,1100205
RO,5231102,10,3090.54,1,8,6,784205,1100205
RO,5231101,10,9668.53,1,2,9,214205,1100205
RO,5231102,10,1176.85,1,8,7,784205,1100205
RO,5231102,10,4928.82,1,2,9,252105,1100205
RO,5231102,10,3440.51,1,2,5,911305,1100205
RO,5231102,10,4044.94,1,8,9,252105,1100205
RO,5231102,10,1392.82,1,8,7,783225,1100205
RO,5231102,10,2602.97,1,2,6,784205,1100205
RO,5231102,10,1483.17,2,9,7,411005,1100205
RO,5231102,10,4607.07,1,2,7,391205,1100205
RO,5231102,10,1299.7,1,8,7,783225,1100205
RO,5231102,10,0,1,2,6,784205,1100205
RO,5231101,10,2624.18,1,9,7,410105,1100205
RO,5231102,10,1563.08,1,8,7,784205,1100205
RO,5231102,10,454.94,1,8,7,784205,1100205
RO,5231102,10,1870.06,2,8,7,411005,1100205
RO,5231102,10,2692.4,1,8,2,784205,1100205
RO,5231101,10,5866.37,1,2,8,517325,1100205
RO,5231102,10,1406.43,1,8,6,783225,1100205
RO,5231102,55,520.75,1,8,6,411005,1100205
RO,5231101,10,5858.15,1,2,7,517325,1100205
RO,5231102,10,2488.5,1,8,7,784205,1100205
RO,5231102,10,3632.1,1,2,7,784205,1100205
RO,5231102,10,2382.39,1,8,7,391130,1100205
RO,5231102,10,2404.6,2,2,7,848425,1100205
RO,5231101,10,6057.86,1,2,7,517325,1100205
RO,5231102,10,2459.17,1,8,4,784205,1100205
RO,5231102,10,2438.66,1,2,7,848425,1100205
RO,5231102,10,2087.07,2,2,9,411010,1100205
RO,5231102,10,4686.54,1,8,7,715135,1100205
RO,5231101,10,5160.47,1,2,9,517325,1100205
RO,5231101,55,679.25,2,9,6,411005,1100205
RO,5231102,10,2643.09,1,2,7,848425,1100205
RO,5231102,10,2473.22,1,2,7,784205,1100205
RO,5231102,10,1860.36,1,4,7,784205,1100205
RO,5231102,10,2482.03,1,6,5,848425,1100205
RO,5231102,10,2544.74,1,2,7,784205,1100205
RO,5231102,10,1857.02,1,9,7,783220,1100205
RO,5231102,10,1688.24,1,4,7,784205,1100205
RO,5231102,10,1497.11,1,8,7,784205,1100205
RO,5231102,10,1434.19,1,9,7,782220,1100205
RO,5231102,10,1187.02,1,8,7,784205,1100205
RO,5231102,10,3472.76,1,8,7,322215,1100205
RO,5231101,10,6266.34,1,9,7,517325,1100205
RO,5231102,10,2074.51,1,8,7,411010,1100205
RO,5231101,10,2412.37,2,2,9,422205,1100205
RO,5231102,10,2049.15,1,8,9,414105,1100205
RO,5231102,10,1942.67,2,8,9,322235,1100205
RO,5231102,10,1202.8,1,8,7,784205,1100205
RO,5231102,10,3870.7,1,2,7,784205,1100205
RO,5231101,10,0,1,9,7,411005,1100205
RO,5231102,10,1153.3,1,8,7,784205,1100205
RO,5231101,10,21948.75,1,9,7,122620,1100205
RO,5231102,10,2583.56,2,2,7,414105,1100205
RO,5231102,10,1819.96,1,4,8,784205,1100205
RO,5231101,10,2579.94,1,9,8,410105,1100205
RO,5231102,10,2029.34,2,2,9,411005,1100205
RO,5231102,10,3855.23,1,8,6,715135,1100205
RO,5231101,10,27337.63,1,2,7,122620,1100205
RO,5231102,10,1977.4,1,9,7,782510,1100205
RO,5231102,10,6946.89,1,4,7,910105,1100205
RO,5231102,10,3356.05,1,8,6,784205,1100205
RO,5231102,55,522.5,2,8,7,411005,1100205
RO,5231102,10,2305.6,1,8,7,517330,1100205
RO,5231102,10,1630.97,1,9,7,783220,1100205
RO,5231101,10,2626.46,1,9,2,410105,1100205
RO,5231102,10,2334.74,1,2,3,715210,1100205
RO,5231102,10,3682.05,1,8,8,342610,1100205
RO,5231102,10,2540.87,2,8,5,848425,1100205
RO,5231102,10,2527.58,2,8,9,784205,1100205
RO,5231101,10,5962.13,1,8,7,517325,1100205
RO,5231101,10,4641.66,2,8,9,517325,1100205
RO,5231102,10,1143.28,1,8,7,784205,1100205
RO,5231102,10,2837.01,2,9,7,411010,1100205
RO,5231102,10,5377.18,1,8,9,354205,1100205
RO,5231102,10,1938.6,1,9,7,783220,1100205
RO,5231102,10,2352.66,1,2,7,784205,1100205
RO,5231101,10,3366.87,1,8,7,351605,1100205
RO,5231102,10,2644.44,1,8,7,784205,1100205
RO,5231102,10,2824.28,2,2,10,411010,1100205
RO,5231102,10,1811.68,1,8,7,784205,1100205
RO,5231102,10,1728.43,1,8,7,784205,1100205
RO,5231101,10,2927.43,2,8,7,342610,1100205
RO,5231102,10,1713.36,1,8,7,784205,1100205
RO,5231102,10,1435.57,1,8,7,784205,1100205
RO,5231102,10,17215.09,2,2,9,142105,1100205
RO,5231102,10,2164.07,1,2,8,784205,1100205
RO,5231102,10,1699.87,1,2,7,784205,1100205
RO,5231101,10,5948.82,1,2,9,517325,1100205
RO,5231102,10,1643.91,1,8,7,784205,1100205
RO,5231102,10,2451.12,1,8,8,848425,1100205
RO,5231102,10,4979.37,1,2,8,391130,1100205
RO,5231102,10,4331.46,2,4,7,351605,1100205
RO,5231102,10,1976.7,1,8,7,784205,1100205
RO,5231102,10,8998.82,1,2,9,410105,1100205
RO,5231102,10,1138.65,1,8,7,784205,1100205
RO,5231102,10,2825.98,1,4,7,784205,1100205
RO,5231102,10,1573.94,1,2,6,783210,1100205
RO,5231102,55,539.75,2,2,5,411005,1100205
RO,5231101,10,2373.79,2,9,7,411005,1100205
RO,5231101,10,0,2,8,9,123110,1100205
RO,5231102,10,2115.02,1,2,7,411005,1100205
RO,5231102,10,1227.32,1,8,7,784205,1100205
RO,5231102,10,2000.64,1,9,7,783220,1100205
